kuname,candidate_name,party,color
北海道11区,候補者A,自由民主党,#d70035
北海道11区,候補者B,社民党,#1ca9e9
北海道11区,候補者C,公明党,#f55883
北海道12区,候補者A,日本維新の会,#88c900
北海道12区,候補者B,社民党,#1ca9e9
北海道12区,候補者C,無所属,#999999
北海道12区,候補者D,日本共産党,#5a2e87
北海道12区,候補者E,自由民主党,#d70035
北海道5区,候補者A,無所属,#999999
北海道5区,候補者B,公明党,#f55883
北海道5区,候補者C,立憲民主党,#004098
北海道5区,候補者D,日本共産党,#5a2e87
北海道5区,候補者E,れいわ新選組,#e954a4
北海道6区,候補者A,無所属,#999999
北海道6区,候補者B,れいわ新選組,#e954a4
北海道6区,候補者C,立憲民主党,#004098
北海道6区,候補者D,日本維新の会,#88c900
北海道6区,候補者E,国民民主党,#fdbd02
北海道3区,候補者A,立憲民主党,#004098
北海道3区,候補者B,れいわ新選組,#e954a4
北海道4区,候補者A,国民民主党,#fdbd02
北海道4区,候補者B,立憲民主党,#004098
北海道4区,候補者C,れいわ新選組,#e954a4
北海道4区,候補者D,公明党,#f55883
北海道4区,候補者E,自由民主党,#d70035
北海道9区,候補者A,日本維新の会,#88c900
北海道9区,候補者B,日本共産党,#5a2e87
北海道9区,候補者C,社民党,#1ca9e9
北海道9区,候補者D,立憲民主党,#004098
宮崎1区,候補者A,国民民主党,#fdbd02
宮崎1区,候補者B,日本共産党,#5a2e87
北海道10区,候補者A,無所属,#999999
北海道10区,候補者B,立憲民主党,#004098
北海道10区,候補者C,国民民主党,#fdbd02
北海道10区,候補者D,日本共産党,#5a2e87
北海道10区,候補者E,日本維新の会,#88c900
宮崎2区,候補者A,無所属,#999999
宮崎2区,候補者B,日本維新の会,#88c900
宮崎2区,候補者C,自由民主党,#d70035
宮崎2区,候補者D,日本共産党,#5a2e87
北海道7区,候補者A,れいわ新選組,#e954a4
北海道7区,候補者B,無所属,#999999
北海道8区,候補者A,国民民主党,#fdbd02
北海道8区,候補者B,立憲民主党,#004098
北海道8区,候補者C,無所属,#999999
北海道8区,候補者D,自由民主党,#d70035
山口3区,候補者A,国民民主党,#fdbd02
山口3区,候補者B,日本共産党,#5a2e87
山口3区,候補者C,日本維新の会,#88c900
滋賀1区,候補者A,日本共産党,#5a2e87
滋賀1区,候補者B,公明党,#f55883
滋賀1区,候補者C,無所属,#999999
滋賀2区,候補者A,国民民主党,#fdbd02
滋賀2区,候補者B,日本共産党,#5a2e87
滋賀2区,候補者C,日本維新の会,#88c900
滋賀2区,候補者D,社民党,#1ca9e9
滋賀2区,候補者E,自由民主党,#d70035
福岡1区,候補者A,日本共産党,#5a2e87
福岡1区,候補者B,れいわ新選組,#e954a4
福岡1区,候補者C,自由民主党,#d70035
福岡1区,候補者D,無所属,#999999
福岡2区,候補者A,れいわ新選組,#e954a4
福岡2区,候補者B,日本共産党,#5a2e87
福岡2区,候補者C,自由民主党,#d70035
宮崎3区,候補者A,日本維新の会,#88c900
宮崎3区,候補者B,無所属,#999999
宮崎3区,候補者C,国民民主党,#fdbd02
福岡5区,候補者A,立憲民主党,#004098
福岡5区,候補者B,日本維新の会,#88c900
福岡6区,候補者A,日本維新の会,#88c900
福岡6区,候補者B,無所属,#999999
福岡3区,候補者A,立憲民主党,#004098
福岡3区,候補者B,公明党,#f55883
福岡3区,候補者C,日本維新の会,#88c900
福岡4区,候補者A,社民党,#1ca9e9
福岡4区,候補者B,自由民主党,#d70035
福岡4区,候補者C,れいわ新選組,#e954a4
福岡4区,候補者D,無所属,#999999
山口1区,候補者A,公明党,#f55883
山口1区,候補者B,無所属,#999999
山口1区,候補者C,日本維新の会,#88c900
山口1区,候補者D,国民民主党,#fdbd02
山口2区,候補者A,国民民主党,#fdbd02
山口2区,候補者B,立憲民主党,#004098
山口2区,候補者C,日本維新の会,#88c900
山口2区,候補者D,公明党,#f55883
山口2区,候補者E,自由民主党,#d70035
埼玉5区,候補者A,立憲民主党,#004098
埼玉5区,候補者B,れいわ新選組,#e954a4
埼玉5区,候補者C,公明党,#f55883
埼玉5区,候補者D,日本共産党,#5a2e87
埼玉5区,候補者E,国民民主党,#fdbd02
埼玉6区,候補者A,社民党,#1ca9e9
埼玉6区,候補者B,れいわ新選組,#e954a4
埼玉3区,候補者A,日本共産党,#5a2e87
埼玉3区,候補者B,れいわ新選組,#e954a4
埼玉3区,候補者C,社民党,#1ca9e9
北海道1区,候補者A,社民党,#1ca9e9
北海道1区,候補者B,日本共産党,#5a2e87
北海道1区,候補者C,立憲民主党,#004098
北海道1区,候補者D,無所属,#999999
北海道1区,候補者E,国民民主党,#fdbd02
埼玉4区,候補者A,社民党,#1ca9e9
埼玉4区,候補者B,立憲民主党,#004098
埼玉4区,候補者C,国民民主党,#fdbd02
埼玉4区,候補者D,無所属,#999999
埼玉4区,候補者E,れいわ新選組,#e954a4
北海道2区,候補者A,自由民主党,#d70035
北海道2区,候補者B,日本維新の会,#88c900
埼玉9区,候補者A,日本維新の会,#88c900
埼玉9区,候補者B,無所属,#999999
埼玉10区,候補者A,国民民主党,#fdbd02
埼玉10区,候補者B,無所属,#999999
埼玉10区,候補者C,日本維新の会,#88c900
埼玉10区,候補者D,社民党,#1ca9e9
埼玉10区,候補者E,れいわ新選組,#e954a4
埼玉7区,候補者A,日本維新の会,#88c900
埼玉7区,候補者B,国民民主党,#fdbd02
埼玉8区,候補者A,無所属,#999999
埼玉8区,候補者B,日本維新の会,#88c900
埼玉8区,候補者C,立憲民主党,#004098
埼玉1区,候補者A,社民党,#1ca9e9
埼玉1区,候補者B,日本維新の会,#88c900
埼玉1区,候補者C,公明党,#f55883
埼玉1区,候補者D,国民民主党,#fdbd02
埼玉2区,候補者A,れいわ新選組,#e954a4
埼玉2区,候補者B,立憲民主党,#004098
埼玉2区,候補者C,自由民主党,#d70035
埼玉2区,候補者D,公明党,#f55883
和歌山1区,候補者A,国民民主党,#fdbd02
和歌山1区,候補者B,自由民主党,#d70035
和歌山1区,候補者C,公明党,#f55883
和歌山1区,候補者D,社民党,#1ca9e9
和歌山1区,候補者E,れいわ新選組,#e954a4
和歌山2区,候補者A,国民民主党,#fdbd02
和歌山2区,候補者B,日本共産党,#5a2e87
和歌山2区,候補者C,公明党,#f55883
和歌山2区,候補者D,れいわ新選組,#e954a4
埼玉13区,候補者A,無所属,#999999
埼玉13区,候補者B,国民民主党,#fdbd02
埼玉13区,候補者C,立憲民主党,#004098
埼玉13区,候補者D,れいわ新選組,#e954a4
埼玉14区,候補者A,国民民主党,#fdbd02
埼玉14区,候補者B,自由民主党,#d70035
埼玉14区,候補者C,日本共産党,#5a2e87
埼玉11区,候補者A,れいわ新選組,#e954a4
埼玉11区,候補者B,立憲民主党,#004098
埼玉11区,候補者C,無所属,#999999
埼玉12区,候補者A,国民民主党,#fdbd02
埼玉12区,候補者B,日本共産党,#5a2e87
埼玉12区,候補者C,れいわ新選組,#e954a4
埼玉12区,候補者D,社民党,#1ca9e9
埼玉15区,候補者A,日本維新の会,#88c900
埼玉15区,候補者B,立憲民主党,#004098
埼玉15区,候補者C,日本共産党,#5a2e87
埼玉16区,候補者A,立憲民主党,#004098
埼玉16区,候補者B,無所属,#999999
埼玉16区,候補者C,日本共産党,#5a2e87
埼玉16区,候補者D,日本維新の会,#88c900
山形1区,候補者A,自由民主党,#d70035
山形1区,候補者B,社民党,#1ca9e9
山形1区,候補者C,れいわ新選組,#e954a4
山形1区,候補者D,立憲民主党,#004098
山形1区,候補者E,公明党,#f55883
山形2区,候補者A,無所属,#999999
山形2区,候補者B,国民民主党,#fdbd02
山形2区,候補者C,公明党,#f55883
山形2区,候補者D,立憲民主党,#004098
山形3区,候補者A,日本共産党,#5a2e87
山形3区,候補者B,公明党,#f55883
山梨1区,候補者A,立憲民主党,#004098
山梨1区,候補者B,社民党,#1ca9e9
山梨1区,候補者C,国民民主党,#fdbd02
山梨1区,候補者D,自由民主党,#d70035
山梨1区,候補者E,日本共産党,#5a2e87
富山1区,候補者A,自由民主党,#d70035
富山1区,候補者B,国民民主党,#fdbd02
富山1区,候補者C,立憲民主党,#004098
富山1区,候補者D,公明党,#f55883
富山1区,候補者E,日本共産党,#5a2e87
山梨2区,候補者A,公明党,#f55883
山梨2区,候補者B,日本維新の会,#88c900
富山2区,候補者A,無所属,#999999
富山2区,候補者B,立憲民主党,#004098
富山2区,候補者C,自由民主党,#d70035
富山3区,候補者A,自由民主党,#d70035
富山3区,候補者B,れいわ新選組,#e954a4
富山3区,候補者C,日本共産党,#5a2e87
富山3区,候補者D,無所属,#999999
大分1区,候補者A,立憲民主党,#004098
大分1区,候補者B,自由民主党,#d70035
大分1区,候補者C,無所属,#999999
大分1区,候補者D,日本共産党,#5a2e87
大分1区,候補者E,公明党,#f55883
大分2区,候補者A,国民民主党,#fdbd02
大分2区,候補者B,自由民主党,#d70035
大分3区,候補者A,れいわ新選組,#e954a4
大分3区,候補者B,日本共産党,#5a2e87
大分3区,候補者C,社民党,#1ca9e9
三重1区,候補者A,国民民主党,#fdbd02
三重1区,候補者B,日本共産党,#5a2e87
三重1区,候補者C,れいわ新選組,#e954a4
三重1区,候補者D,公明党,#f55883
三重1区,候補者E,立憲民主党,#004098
三重2区,候補者A,社民党,#1ca9e9
三重2区,候補者B,公明党,#f55883
三重2区,候補者C,無所属,#999999
三重3区,候補者A,れいわ新選組,#e954a4
三重3区,候補者B,無所属,#999999
三重3区,候補者C,公明党,#f55883
三重3区,候補者D,国民民主党,#fdbd02
三重4区,候補者A,自由民主党,#d70035
三重4区,候補者B,公明党,#f55883
秋田1区,候補者A,自由民主党,#d70035
秋田1区,候補者B,社民党,#1ca9e9
秋田1区,候補者C,日本共産党,#5a2e87
秋田1区,候補者D,無所属,#999999
秋田2区,候補者A,日本共産党,#5a2e87
秋田2区,候補者B,日本維新の会,#88c900
秋田2区,候補者C,公明党,#f55883
秋田2区,候補者D,無所属,#999999
秋田2区,候補者E,れいわ新選組,#e954a4
広島1区,候補者A,社民党,#1ca9e9
広島1区,候補者B,日本共産党,#5a2e87
広島1区,候補者C,日本維新の会,#88c900
広島1区,候補者D,れいわ新選組,#e954a4
広島2区,候補者A,国民民主党,#fdbd02
広島2区,候補者B,社民党,#1ca9e9
広島2区,候補者C,れいわ新選組,#e954a4
広島2区,候補者D,日本維新の会,#88c900
広島5区,候補者A,国民民主党,#fdbd02
広島5区,候補者B,自由民主党,#d70035
広島5区,候補者C,社民党,#1ca9e9
広島5区,候補者D,無所属,#999999
奈良1区,候補者A,国民民主党,#fdbd02
奈良1区,候補者B,社民党,#1ca9e9
奈良1区,候補者C,れいわ新選組,#e954a4
広島6区,候補者A,れいわ新選組,#e954a4
広島6区,候補者B,公明党,#f55883
奈良2区,候補者A,れいわ新選組,#e954a4
奈良2区,候補者B,国民民主党,#fdbd02
奈良2区,候補者C,自由民主党,#d70035
奈良2区,候補者D,社民党,#1ca9e9
広島3区,候補者A,立憲民主党,#004098
広島3区,候補者B,公明党,#f55883
広島3区,候補者C,日本共産党,#5a2e87
広島3区,候補者D,日本維新の会,#88c900
広島4区,候補者A,自由民主党,#d70035
広島4区,候補者B,国民民主党,#fdbd02
広島4区,候補者C,日本維新の会,#88c900
広島4区,候補者D,無所属,#999999
広島4区,候補者E,れいわ新選組,#e954a4
高知1区,候補者A,れいわ新選組,#e954a4
高知1区,候補者B,日本共産党,#5a2e87
高知1区,候補者C,立憲民主党,#004098
高知1区,候補者D,自由民主党,#d70035
高知2区,候補者A,日本維新の会,#88c900
高知2区,候補者B,日本共産党,#5a2e87
高知2区,候補者C,社民党,#1ca9e9
高知2区,候補者D,公明党,#f55883
秋田3区,候補者A,無所属,#999999
秋田3区,候補者B,れいわ新選組,#e954a4
秋田3区,候補者C,社民党,#1ca9e9
秋田3区,候補者D,日本維新の会,#88c900
秋田3区,候補者E,日本共産党,#5a2e87
奈良3区,候補者A,日本維新の会,#88c900
奈良3区,候補者B,立憲民主党,#004098
奈良3区,候補者C,自由民主党,#d70035
奈良3区,候補者D,国民民主党,#fdbd02
奈良3区,候補者E,無所属,#999999
群馬1区,候補者A,自由民主党,#d70035
群馬1区,候補者B,れいわ新選組,#e954a4
群馬2区,候補者A,無所属,#999999
群馬2区,候補者B,国民民主党,#fdbd02
群馬2区,候補者C,れいわ新選組,#e954a4
群馬2区,候補者D,立憲民主党,#004098
群馬2区,候補者E,社民党,#1ca9e9
群馬5区,候補者A,自由民主党,#d70035
群馬5区,候補者B,公明党,#f55883
群馬5区,候補者C,日本維新の会,#88c900
群馬3区,候補者A,国民民主党,#fdbd02
群馬3区,候補者B,日本共産党,#5a2e87
群馬3区,候補者C,無所属,#999999
群馬4区,候補者A,公明党,#f55883
群馬4区,候補者B,日本共産党,#5a2e87
愛知13区,候補者A,日本共産党,#5a2e87
愛知13区,候補者B,国民民主党,#fdbd02
愛知13区,候補者C,れいわ新選組,#e954a4
愛知13区,候補者D,無所属,#999999
愛知14区,候補者A,自由民主党,#d70035
愛知14区,候補者B,社民党,#1ca9e9
愛知11区,候補者A,立憲民主党,#004098
愛知11区,候補者B,無所属,#999999
愛知11区,候補者C,日本維新の会,#88c900
愛知11区,候補者D,日本共産党,#5a2e87
愛知12区,候補者A,国民民主党,#fdbd02
愛知12区,候補者B,日本共産党,#5a2e87
愛知12区,候補者C,れいわ新選組,#e954a4
愛知12区,候補者D,自由民主党,#d70035
愛知12区,候補者E,公明党,#f55883
新潟5区,候補者A,公明党,#f55883
新潟5区,候補者B,日本維新の会,#88c900
愛知15区,候補者A,国民民主党,#fdbd02
愛知15区,候補者B,公明党,#f55883
愛知15区,候補者C,社民党,#1ca9e9
愛知16区,候補者A,日本共産党,#5a2e87
愛知16区,候補者B,公明党,#f55883
愛知16区,候補者C,社民党,#1ca9e9
愛知16区,候補者D,無所属,#999999
新潟3区,候補者A,無所属,#999999
新潟3区,候補者B,国民民主党,#fdbd02
新潟3区,候補者C,日本維新の会,#88c900
新潟3区,候補者D,公明党,#f55883
新潟3区,候補者E,れいわ新選組,#e954a4
新潟4区,候補者A,社民党,#1ca9e9
新潟4区,候補者B,立憲民主党,#004098
新潟4区,候補者C,日本共産党,#5a2e87
福井1区,候補者A,国民民主党,#fdbd02
福井1区,候補者B,日本維新の会,#88c900
福井1区,候補者C,自由民主党,#d70035
福井1区,候補者D,公明党,#f55883
福井1区,候補者E,無所属,#999999
福井2区,候補者A,立憲民主党,#004098
福井2区,候補者B,日本維新の会,#88c900
福井2区,候補者C,れいわ新選組,#e954a4
福井2区,候補者D,自由民主党,#d70035
福井2区,候補者E,国民民主党,#fdbd02
新潟1区,候補者A,国民民主党,#fdbd02
新潟1区,候補者B,自由民主党,#d70035
新潟1区,候補者C,日本維新の会,#88c900
新潟2区,候補者A,立憲民主党,#004098
新潟2区,候補者B,自由民主党,#d70035
新潟2区,候補者C,国民民主党,#fdbd02
熊本3区,候補者A,日本共産党,#5a2e87
熊本3区,候補者B,無所属,#999999
熊本3区,候補者C,自由民主党,#d70035
熊本4区,候補者A,自由民主党,#d70035
熊本4区,候補者B,日本維新の会,#88c900
熊本4区,候補者C,無所属,#999999
熊本4区,候補者D,立憲民主党,#004098
熊本4区,候補者E,社民党,#1ca9e9
熊本1区,候補者A,日本維新の会,#88c900
熊本1区,候補者B,社民党,#1ca9e9
熊本2区,候補者A,無所属,#999999
熊本2区,候補者B,日本維新の会,#88c900
熊本2区,候補者C,自由民主党,#d70035
熊本2区,候補者D,社民党,#1ca9e9
宮城1区,候補者A,無所属,#999999
宮城1区,候補者B,社民党,#1ca9e9
宮城1区,候補者C,日本維新の会,#88c900
宮城2区,候補者A,国民民主党,#fdbd02
宮城2区,候補者B,公明党,#f55883
宮城2区,候補者C,無所属,#999999
宮城2区,候補者D,自由民主党,#d70035
宮城2区,候補者E,立憲民主党,#004098
宮城5区,候補者A,公明党,#f55883
宮城5区,候補者B,国民民主党,#fdbd02
愛知5区,候補者A,れいわ新選組,#e954a4
愛知5区,候補者B,公明党,#f55883
愛知6区,候補者A,れいわ新選組,#e954a4
愛知6区,候補者B,社民党,#1ca9e9
愛知6区,候補者C,公明党,#f55883
愛知6区,候補者D,国民民主党,#fdbd02
愛知6区,候補者E,日本共産党,#5a2e87
宮城3区,候補者A,れいわ新選組,#e954a4
宮城3区,候補者B,日本維新の会,#88c900
宮城3区,候補者C,無所属,#999999
愛知3区,候補者A,公明党,#f55883
愛知3区,候補者B,無所属,#999999
愛知3区,候補者C,国民民主党,#fdbd02
宮城4区,候補者A,無所属,#999999
宮城4区,候補者B,国民民主党,#fdbd02
愛知4区,候補者A,社民党,#1ca9e9
愛知4区,候補者B,公明党,#f55883
愛知4区,候補者C,日本共産党,#5a2e87
愛知4区,候補者D,れいわ新選組,#e954a4
愛知4区,候補者E,日本維新の会,#88c900
愛知9区,候補者A,自由民主党,#d70035
愛知9区,候補者B,公明党,#f55883
愛知9区,候補者C,日本共産党,#5a2e87
愛知9区,候補者D,社民党,#1ca9e9
愛知9区,候補者E,日本維新の会,#88c900
愛知10区,候補者A,国民民主党,#fdbd02
愛知10区,候補者B,公明党,#f55883
愛知7区,候補者A,社民党,#1ca9e9
愛知7区,候補者B,公明党,#f55883
愛知8区,候補者A,れいわ新選組,#e954a4
愛知8区,候補者B,立憲民主党,#004098
愛知8区,候補者C,無所属,#999999
愛知8区,候補者D,公明党,#f55883
愛知8区,候補者E,日本共産党,#5a2e87
兵庫1区,候補者A,自由民主党,#d70035
兵庫1区,候補者B,日本維新の会,#88c900
兵庫1区,候補者C,社民党,#1ca9e9
兵庫1区,候補者D,日本共産党,#5a2e87
兵庫2区,候補者A,国民民主党,#fdbd02
兵庫2区,候補者B,れいわ新選組,#e954a4
兵庫2区,候補者C,日本共産党,#5a2e87
岡山3区,候補者A,国民民主党,#fdbd02
岡山3区,候補者B,社民党,#1ca9e9
岡山3区,候補者C,公明党,#f55883
岡山3区,候補者D,日本維新の会,#88c900
岡山3区,候補者E,日本共産党,#5a2e87
愛知1区,候補者A,立憲民主党,#004098
愛知1区,候補者B,国民民主党,#fdbd02
岡山4区,候補者A,自由民主党,#d70035
岡山4区,候補者B,公明党,#f55883
岡山4区,候補者C,国民民主党,#fdbd02
岡山4区,候補者D,社民党,#1ca9e9
愛知2区,候補者A,無所属,#999999
愛知2区,候補者B,公明党,#f55883
愛知2区,候補者C,社民党,#1ca9e9
愛知2区,候補者D,日本維新の会,#88c900
愛媛1区,候補者A,日本共産党,#5a2e87
愛媛1区,候補者B,社民党,#1ca9e9
愛媛1区,候補者C,日本維新の会,#88c900
愛媛1区,候補者D,立憲民主党,#004098
愛媛1区,候補者E,れいわ新選組,#e954a4
愛媛2区,候補者A,社民党,#1ca9e9
愛媛2区,候補者B,自由民主党,#d70035
愛媛2区,候補者C,公明党,#f55883
愛媛2区,候補者D,無所属,#999999
兵庫5区,候補者A,れいわ新選組,#e954a4
兵庫5区,候補者B,公明党,#f55883
兵庫5区,候補者C,日本維新の会,#88c900
兵庫6区,候補者A,国民民主党,#fdbd02
兵庫6区,候補者B,社民党,#1ca9e9
兵庫6区,候補者C,公明党,#f55883
兵庫6区,候補者D,無所属,#999999
兵庫6区,候補者E,立憲民主党,#004098
兵庫3区,候補者A,日本共産党,#5a2e87
兵庫3区,候補者B,立憲民主党,#004098
兵庫3区,候補者C,国民民主党,#fdbd02
兵庫3区,候補者D,れいわ新選組,#e954a4
兵庫4区,候補者A,公明党,#f55883
兵庫4区,候補者B,日本維新の会,#88c900
兵庫4区,候補者C,国民民主党,#fdbd02
兵庫4区,候補者D,れいわ新選組,#e954a4
愛媛3区,候補者A,れいわ新選組,#e954a4
愛媛3区,候補者B,公明党,#f55883
愛媛3区,候補者C,立憲民主党,#004098
愛媛3区,候補者D,日本維新の会,#88c900
神奈川17区,候補者A,国民民主党,#fdbd02
神奈川17区,候補者B,公明党,#f55883
神奈川18区,候補者A,無所属,#999999
神奈川18区,候補者B,立憲民主党,#004098
神奈川18区,候補者C,社民党,#1ca9e9
神奈川15区,候補者A,無所属,#999999
神奈川15区,候補者B,れいわ新選組,#e954a4
神奈川15区,候補者C,国民民主党,#fdbd02
神奈川15区,候補者D,自由民主党,#d70035
神奈川15区,候補者E,日本維新の会,#88c900
神奈川16区,候補者A,れいわ新選組,#e954a4
神奈川16区,候補者B,日本維新の会,#88c900
神奈川16区,候補者C,無所属,#999999
神奈川16区,候補者D,公明党,#f55883
神奈川16区,候補者E,自由民主党,#d70035
神奈川19区,候補者A,日本共産党,#5a2e87
神奈川19区,候補者B,公明党,#f55883
神奈川19区,候補者C,無所属,#999999
神奈川20区,候補者A,立憲民主党,#004098
神奈川20区,候補者B,自由民主党,#d70035
神奈川20区,候補者C,無所属,#999999
神奈川20区,候補者D,国民民主党,#fdbd02
神奈川20区,候補者E,日本共産党,#5a2e87
栃木5区,候補者A,日本維新の会,#88c900
栃木5区,候補者B,自由民主党,#d70035
栃木5区,候補者C,れいわ新選組,#e954a4
栃木5区,候補者D,社民党,#1ca9e9
栃木3区,候補者A,国民民主党,#fdbd02
栃木3区,候補者B,無所属,#999999
栃木3区,候補者C,れいわ新選組,#e954a4
栃木3区,候補者D,自由民主党,#d70035
栃木3区,候補者E,社民党,#1ca9e9
栃木4区,候補者A,国民民主党,#fdbd02
栃木4区,候補者B,立憲民主党,#004098
兵庫9区,候補者A,自由民主党,#d70035
兵庫9区,候補者B,れいわ新選組,#e954a4
兵庫10区,候補者A,国民民主党,#fdbd02
兵庫10区,候補者B,立憲民主党,#004098
兵庫10区,候補者C,自由民主党,#d70035
兵庫10区,候補者D,日本維新の会,#88c900
兵庫7区,候補者A,日本共産党,#5a2e87
兵庫7区,候補者B,れいわ新選組,#e954a4
兵庫7区,候補者C,公明党,#f55883
兵庫7区,候補者D,日本維新の会,#88c900
兵庫7区,候補者E,無所属,#999999
兵庫8区,候補者A,日本共産党,#5a2e87
兵庫8区,候補者B,日本維新の会,#88c900
兵庫8区,候補者C,れいわ新選組,#e954a4
兵庫11区,候補者A,れいわ新選組,#e954a4
兵庫11区,候補者B,日本共産党,#5a2e87
兵庫11区,候補者C,公明党,#f55883
兵庫11区,候補者D,国民民主党,#fdbd02
兵庫12区,候補者A,立憲民主党,#004098
兵庫12区,候補者B,社民党,#1ca9e9
兵庫12区,候補者C,国民民主党,#fdbd02
岡山1区,候補者A,社民党,#1ca9e9
岡山1区,候補者B,れいわ新選組,#e954a4
岡山1区,候補者C,日本維新の会,#88c900
岡山1区,候補者D,自由民主党,#d70035
岡山2区,候補者A,国民民主党,#fdbd02
岡山2区,候補者B,日本維新の会,#88c900
岡山2区,候補者C,無所属,#999999
